v1,v2
ham,"Hey, are we still meeting for coffee at 4?"
spam,"CONGRATULATIONS! You have won a $1,000 Walmart gift card. Click here to claim: http://bit.ly/fake"
ham,"Can you send me the notes from today's lecture?"
spam,"URGENT: Your account has been compromised. Please reply with your password to verify identity."
ham,"I'll be home late tonight, don't wait up for dinner."
spam,"FREE entry into our $500 weekly draw! Text WIN to 80085 now!"
ham,"Did you see the game last night? What a finish!"
spam,"Double your income working from home! No experience needed. Call 555-0199 now."
ham,"Happy Birthday! Hope you have a fantastic day."
spam,"Final notice: Your invoice is past due. Pay now to avoid legal action."
ham,"Let's catch up this weekend if you're free."
spam,"You have 1 new voicemail. Click to listen: http://scam-link.com"
ham,"The meeting has been rescheduled to tomorrow morning."
spam,"Get cheap pharmacy meds delivered to your door. No prescription required!"
ham,"Thanks for the help earlier, I really appreciate it."